"Name","IP Address","Description"
"coderdojo-nara-ikoma","133.242.238.189","CoderDojo奈良/CoderDojo生駒用の共有サーバーです。"
"coderdojo-hommachi","133.242.237.100","CoderDojo本町用のサーバーです。"
"coderdojo-akita","133.242.229.124","CoderDojo秋田用のサーバーです。"
"coderdojo-kadena","133.242.237.68","CoderDojo嘉手納用のサーバーです。"
"coderdojo-japan","153.127.216.63","CoderDojo Japan用のサーバーです。主にcoderdojo.jpやDojoCastのウェブサーバーとして使います。"
"coderdojo-ichikawamama","153.127.192.248","CoderDojo市川真間用のサーバーです。"
"coderdojo-kumano","153.127.194.34","CoderDojo熊野用のウェブサーバーです。"
"coderdojo-fujisawa","133.242.226.43","CoderDojo藤沢用のサーバーです。"
"coderdojo-kodaira","133.242.225.105","CoderDojo小平用のサーバーです。参加申込・備品データの管理システムの運用などに使います。"
"coderdojo-funabashi","153.127.216.16","CoderDojo船橋＠凛堂舎用のサーバーです。公式Webページを運営します。"
"coderdojo-konan-okayama","153.127.195.200","CoderDojo岡山 岡南用のサーバーです。ニンジャの作品などのテスト実行環境、運営上のシステムなどに使用します。"
"coderdojo-nagatsuta","133.242.231.67","CoderDojo長津田用のサーバーです。ニンジャの開発用Webサーバとして利用します。"
"coderdojo-hiroshima","133.242.233.69","CoderDojo広島用のサーバーです。Wordpressやニンジャの開発環境として使います。"
"coderdojo-chofu","133.242.228.45","CoderDojo調布用のサーバーです。"